"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1698959671217000676","Tue Sep 05 07:22:05 +0000 2023","0","#JoinTheFlipSide #UnfoldYourWorld #Samsung #SamsungZflip5 #SamsungZfold5 https://t.co/WOL8zs8UtI","1698959671217000676","https://pbs.twimg.com/media/F5Pq0LyawAACYL-.jpg","","qme","manila, philippines","0","0","0","https://x.com/verdiyah/status/1698959671217000676","523667848","verdiyah"
"1693766691132485665","Mon Aug 21 23:27:02 +0000 2023","8","Met a few friends earlier on a walk.. #ShotOnSnapdragon with the #SamsungZFold5 https://t.co/TVh4Tu2apV","1693766691132485665","https://pbs.twimg.com/media/F4F31DjW0AAyswS.jpg","","en","Northern Ireland","0","1","0","https://x.com/MichaelsTecTalk/status/1693766691132485665","1290986925952835584","MichaelsTecTalk"
"1652248288895066112","Sat Apr 29 09:47:44 +0000 2023","1","️ Samsung Galaxy Z Fold 5 6 2″ zunanji zaslon 7 56″ notranji zaslon v odprtem stanju: 154 9 x 129 9 x 6 3 mm zložen: 154 9 x 67 1 x 13 5 mm #Samsung #samsungzfold #samsungzfold5 #zfold5 #samsunggalaxyzflod #samsunggalaxyzfold5 #galaxyzfold5 https://t.co/NBwUbH9BIF","1652248288895066112","https://pbs.twimg.com/media/Fu3139lWwAAo-s-.jpg","","sl","Slovenia","0","0","0","https://x.com/BlueKoaTech/status/1652248288895066112","1636094688418574342","BlueKoaTech"
"1695406235548328008","Sat Aug 26 12:02:00 +0000 2023","3"," NEW VIDEO Official Samsung Slim S Pen Case for the Samsung Z Fold 5! Is it worth it? Let's find out! Link to YT: https://t.co/YH8Y8rKfTG #samsungzfold5 #CaseReview https://t.co/8bxPCD6tc6","1695406235548328008","https://pbs.twimg.com/media/F4ajJOmXIAArZ1N.jpg","","en","Northern Ireland","0","0","1","https://x.com/MichaelsTecTalk/status/1695406235548328008","1290986925952835584","MichaelsTecTalk"
"1744668314654454199","Tue Jan 09 10:31:55 +0000 2024","2","The only flip phone I can afford right now is My Legendary Lava Flip Ultra Pro Max #SamsungUnpacked #SamsungGalaxyZFlip5 #SamsungZFold5 https://t.co/1QfzRAQ2vg","1744668314654454199","https://pbs.twimg.com/media/GDZOk7abAAEHqWT.jpg","","en","Ahmedabad, India","0","0","0","https://x.com/BeingSmeet1012/status/1744668314654454199","1376910230","BeingSmeet1012"
"1687199178274000899","Thu Aug 03 20:30:05 +0000 2023","17","Jako że mój S21 Ultra trochę jest już niesprawny z mojej winy potrzebowałem czegoś nowego. Zwykłe smartfony są straszne nudne i prawie niczym się nie różnią z roku na rok więc czas na spróbowanie czegoś innego. Pierwszy składak w życiu. Trochę jaranko #SamsungZFold5 https://t.co/w4KGG1j5he","1687199178274000899","https://pbs.twimg.com/media/F2oite1XcAIRDlT.jpg","","pl","Wrocław, Polska","0","5","0","https://x.com/seasider620/status/1687199178274000899","1591761954","seasider620"
"1676859458562162688","Thu Jul 06 07:43:44 +0000 2023","6","Samsung Galaxy Z Fold 5 and Z Flip 5 officially launching on 26 July 2023. #Samsung #SamsungGalaxyZFold5 #SamsungGalaxyZFlip5 #GalaxyUnpacked #SamsungUnpacked #GalaxyZFold5 #GalaxyZFlip5 #SamsungZFold5 #SamsungZFlip5 https://t.co/72WEU8WZzd","1676859458562162688","https://pbs.twimg.com/media/F0VmymQaUAIJntP.jpg","","en","🌏","1","0","1","https://x.com/maheshahir24/status/1676859458562162688","1412400274266800134","maheshahir24"
"1691274390355451904","Tue Aug 15 02:23:31 +0000 2023","10","First look at the #SamsungZFold5 and I have thoughts WATCH: https://t.co/wkRLfLnKaj https://t.co/auyBVHfAVm","1691274390355451904","https://pbs.twimg.com/media/F3idGFUa4AAgfBO.jpg","","en","","0","0","3","https://x.com/isadoes_/status/1691274390355451904","232134570","isadoes_"
"1685881257203576832","Mon Jul 31 05:13:08 +0000 2023","0","Pre order skrg! Samsung z fold 5 Fon lipat yang TERBARU! Jom pilih AMKL PASTIKAN AMKL BARU BELI Jom #ansuranmudahkl #samsungzflip5 #samsungzfold5 https://t.co/hpTUTgH5vz","1685881257203576832","https://pbs.twimg.com/media/F2V0ENqaYAAoqVi.jpg","","in","Kuala Lumpur, Wilayah Persekut","0","0","0","https://x.com/KlMudah/status/1685881257203576832","1318132378515120128","KlMudah"
"1684355768617668614","Thu Jul 27 00:11:23 +0000 2023","1"," Samsung lanza el Galaxy Z Fold 5 y Z Flip 5 sus dos nuevos dispositivos plegables️ Amplíe esta información aquí: https://t.co/tFa5tKfItb #E3NoticiasRD #Samsung #SamsungZFlip5 #SamsungZFold5 https://t.co/opSe4uNzkt","1684355768617668614","https://pbs.twimg.com/media/F2AIolUXwAE5fyy.jpg","","es","","0","0","0","https://x.com/e3noticiasrd/status/1684355768617668614","1638131335041515520","e3noticiasrd"
